PMID	Sentence_ID	Sentence	Gene1|Gene1_ID	Gene1_Index(start|end)	Gene2|Gene2_ID	Gene2_Index(start|end)	RE_Type
24003223	S1	A brain-specific Grb2-associated regulator of extracellular signal-regulated kinase (Erk)/mitogen-activated protein kinase (MAPK) (GAREM) subtype, GAREM2, contributes to neurite outgrowth of neuroblastoma cells by regulating Erk signaling.	Erk|5594	225|228	GAREM2|150946	147|153	Neutral_Regulation
24003223	S2	Grb2-associated regulator of Erk/MAPK1 (GAREM) is an adaptor molecule in the EGF-mediated signaling pathway.	Grb2-associated regulator of Erk/MAPK1 (GAREM)|64762	0|46	EGF|1950	77|80	NoRE
24003223	S5	Therefore, previously identified GAREM is named GAREM1.	GAREM|64762	34|39	GAREM1|64762	49|55	NoRE
24003223	S6	Here we characterized a new subtype of GAREM, GAREM2, that is specifically expressed in the mouse, rat, and human brain.	GAREM|381126	40|45	GAREM2|242915	47|53	NoRE
24003223	S7	Three GAREM2 tyrosines (Tyr-102, Tyr-429, and Tyr-551) are phosphorylated upon EGF stimulation and are necessary for binding to Grb2.	Grb2|2885	128|132	GAREM2|150946	6|12	Binding
24003223	S7	Three GAREM2 tyrosines (Tyr-102, Tyr-429, and Tyr-551) are phosphorylated upon EGF stimulation and are necessary for binding to Grb2.	EGF|1950	79|82	GAREM2|150946	6|12	Modification
24003223	S8	Furthermore, GAREM2 and Shp2 regulate Erk activity in EGF-stimulated cells.	Erk|5594	38|41	GAREM2|150946	13|19	Neutral_Regulation
24003223	S8	Furthermore, GAREM2 and Shp2 regulate Erk activity in EGF-stimulated cells.	Erk|5594	38|41	Shp2|5781	24|28	Neutral_Regulation
24003223	S10	GAREM2 is expressed in some neuroblastoma cell lines and is also tyrosine-phosphorylated and bound to Grb2 after treatment with EGF.	Grb2|2885	102|106	GAREM2|150946	0|6	Binding
24003223	S11	Eventually, GAREM2 regulates Erk activation in the presence of EGF or insulin like growth factor 1.	GAREM2|150946	12|18	Erk|5594	29|32	Positive_Regulation
24003223	S12	GAREM2 also regulates insulin-like growth factor 1-induced neuronal differentiation of the SH-SY5Y neuroblastoma cell line.	GAREM2|150946	0|6	insulin-like growth factor 1|3479	22|50	NoRE
24003223	S13	Although the structure and function of both GAREM subtypes are similar, GAREM1 is recruited into the nucleus and GAREM2 is not.	GAREM|64762	45|50	GAREM1|64762	73|79	NoRE
24003223	S13	Although the structure and function of both GAREM subtypes are similar, GAREM1 is recruited into the nucleus and GAREM2 is not.	GAREM|64762	45|50	GAREM2|150946	114|120	NoRE
24003223	S13	Although the structure and function of both GAREM subtypes are similar, GAREM1 is recruited into the nucleus and GAREM2 is not.	GAREM1|64762	73|79	GAREM2|150946	114|120	NoRE
24003223	S14	Nuclear localization of GAREM1 might be controlled by a GAREM1-specific nuclear localization sequence and 14-3-3e binding.	GAREM1|64762	25|31	GAREM1|64762	57|63	NoRE
24003223	S14	Nuclear localization of GAREM1 might be controlled by a GAREM1-specific nuclear localization sequence and 14-3-3e binding.	GAREM1|64762	25|31	14-3-3e|7531	107|114	NoRE
24003223	S14	Nuclear localization of GAREM1 might be controlled by a GAREM1-specific nuclear localization sequence and 14-3-3e binding.	GAREM1|64762	57|63	14-3-3e|7531	107|114	NoRE
24003223	S15	The N-terminal 20 amino acids of GAREM1 make up its nuclear localization sequence that is also a 14-3-3e binding site.	GAREM1|64762	34|40	14-3-3e|7531	98|105	NoRE
24018422	S3	Here, we show that the SUMO/Sentrin/Smt3-specific peptidase, SENP7, interacts with the chromatin repressive KRAB-associated protein 1 (KAP1) through heterochromatin protein 1 alpha (HP1a).	SENP7|57337	61|66	KRAB-associated protein 1 (KAP1)|10155	108|140	Association
24018422	S3	Here, we show that the SUMO/Sentrin/Smt3-specific peptidase, SENP7, interacts with the chromatin repressive KRAB-associated protein 1 (KAP1) through heterochromatin protein 1 alpha (HP1a).	heterochromatin protein 1 alpha (HP1a)|23468	149|187	SENP7|57337	61|66	Interaction_Agent
24018422	S4	SENP7 promotes the removal of SUMO2/3 from KAP1 and regulates the interaction of the chromatin remodeler CHD3 with chromatin.	SENP7|57337	0|5	SUMO2|6613	30|35	Translocation
24018422	S5	Consequently, in the presence of CHD3, SENP7 is required for chromatin relaxation in response to DNA damage, for homologous recombination repair and for cellular resistance to DNA-damaging agents.	CHD3|1107	34|38	SENP7|57337	40|45	NoRE
24019069	S3	Clinical evidence has revealed that p16(INK4A), an allosteric inhibitor of CDK4/6, is inactivated in over half of human melanomas, and numerous animal models have demonstrated that p16(INK4A) deletion promotes melanoma.	p16(INK4A)|1029	36|46	CDK4|1019	75|79	Negative_Agent
24019069	S4	FBXO4, a specificity factor for the E3 ligase that directs timely cyclin D1 proteolysis, has not been studied in melanoma.	cyclin D1|595	66|75	FBXO4|26272	0|5	Neutral_Regulation
24019069	S5	We demonstrate that Fbxo4 deficiency induces Braf-driven melanoma and that this phenotype depends on cyclin D1 accumulation in mice, underscoring the importance of this ubiquitin ligase in tumor suppression.	Fbxo4|106052	21|26	Braf|109880	46|50	NoRE
24019069	S5	We demonstrate that Fbxo4 deficiency induces Braf-driven melanoma and that this phenotype depends on cyclin D1 accumulation in mice, underscoring the importance of this ubiquitin ligase in tumor suppression.	Fbxo4|106052	21|26	cyclin D1|12443	102|111	NoRE
24019069	S5	We demonstrate that Fbxo4 deficiency induces Braf-driven melanoma and that this phenotype depends on cyclin D1 accumulation in mice, underscoring the importance of this ubiquitin ligase in tumor suppression.	Braf|109880	46|50	cyclin D1|12443	102|111	NoRE
24019069	S6	Furthermore, we have identified a substrate-binding mutation, FBXO4 I377M, that selectively disrupts cyclin D1 degradation while preserving proteolysis of the other known FBXO4 substrate, TRF1.	TRF1|7013	188|192	FBXO4|26272	171|176	Interaction_Agent
24019069	S6	Furthermore, we have identified a substrate-binding mutation, FBXO4 I377M, that selectively disrupts cyclin D1 degradation while preserving proteolysis of the other known FBXO4 substrate, TRF1.	FBXO4|26272	62|67	cyclin D1|595	101|110	Positive_Regulation
24019069	S7	The I377M mutation and Fbxo4 deficiency result in nuclear accumulation of cyclin D1, a key transforming neoplastic event.	Fbxo4|26272	23|28	cyclin D1|595	74|83	Translocation
24019069	S8	Collectively, these data provide evidence that FBXO4 dysfunction, as a mechanism for cyclin D1 overexpression, is a contributor to human malignancy.	cyclin D1|595	86|95	FBXO4|26272	48|53	NoRE
24019527	S1	NEDD8 ultimate buster-1 long (NUB1L) protein promotes transfer of NEDD8 to proteasome for degradation through the P97UFD1/NPL4 complex.	P97|7415	114|117	UFD1|7353	117|121	Complex
24019527	S1	NEDD8 ultimate buster-1 long (NUB1L) protein promotes transfer of NEDD8 to proteasome for degradation through the P97UFD1/NPL4 complex.	P97|7415	114|117	NPL4|55666	122|126	Complex
24019527	S1	NEDD8 ultimate buster-1 long (NUB1L) protein promotes transfer of NEDD8 to proteasome for degradation through the P97UFD1/NPL4 complex.	UFD1|7353	117|121	NPL4|55666	122|126	Complex
24019527	S1	NEDD8 ultimate buster-1 long (NUB1L) protein promotes transfer of NEDD8 to proteasome for degradation through the P97UFD1/NPL4 complex.	NEDD8 ultimate buster-1 long (NUB1L)|51667	0|36	NEDD8|4738	66|71	Translocation
24019527	S1	NEDD8 ultimate buster-1 long (NUB1L) protein promotes transfer of NEDD8 to proteasome for degradation through the P97UFD1/NPL4 complex.	NEDD8 ultimate buster-1 long (NUB1L)|51667	0|36	P97|7415	114|117	Interaction_Agent
24019527	S1	NEDD8 ultimate buster-1 long (NUB1L) protein promotes transfer of NEDD8 to proteasome for degradation through the P97UFD1/NPL4 complex.	NEDD8 ultimate buster-1 long (NUB1L)|51667	0|36	UFD1|7353	117|121	Interaction_Agent
24019527	S1	NEDD8 ultimate buster-1 long (NUB1L) protein promotes transfer of NEDD8 to proteasome for degradation through the P97UFD1/NPL4 complex.	NEDD8 ultimate buster-1 long (NUB1L)|51667	0|36	NPL4|55666	122|126	Interaction_Agent
24019527	S2	The NEDD8 protein and neddylation levels in cells are modulated by NUB1L or NUB1 through proteasomal degradation, but the underlying molecular mechanism is not well understood.	NUB1L|51667	67|72	NEDD8|4738	4|9	Neutral_Regulation
